Table Name,Column Name,Data Type,Sensitivity Level,Example Values
Finance,CompanyBudget,DECIMAL,Confidential,20820.26
Finance,CompanyBudget,DECIMAL,Confidential,25225.69
ITSecurity,LoginAttempts,INT,Private,81
Healthcare,Prescription,TEXT,Confidential,If throughout cup.
Employee,Gender,TEXT,Private,female
ITSecurity,APIKey,TEXT,Secret,753c66a41cff15b0d2088b62097f00ed
Sales,FavoriteProducts,TEXT,Public,Model her case unit.
Employee,Salary,DECIMAL,Confidential,15129.09
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB64VOCU37457860630637
Employee,Email,TEXT,Private,robertsmith@example.org
Finance,InvestmentValue,DECIMAL,Confidential,78135.43
Employee,PhoneNumber,TEXT,Private,+1-558-318-1280x3081
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,InvestmentValue,DECIMAL,Confidential,55960.51
ITSecurity,SessionToken,TEXT,Secret,54ed707c-9841-46ac-949b-67d0a3010cd7
Sales,FavoriteProducts,TEXT,Public,Two relate rest.
Finance,CompanyBudget,DECIMAL,Confidential,44806.84
Employee,Email,TEXT,Private,joneskeith@example.com
Healthcare,EmergencyContact,TEXT,Private,James Diaz
Employee,Department,TEXT,Private,Red chance.
ITSecurity,SessionToken,TEXT,Secret,a5b500d6-c497-40dc-88c2-d7837bce33fc
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Employee,EmployeeID,TEXT,Private,Quickly common.
Sales,CustomerFeedback,TEXT,Public,Service individual.
Employee,Salary,DECIMAL,Confidential,23149.15
Employee,PhoneNumber,TEXT,Private,(796)318-2471
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Sales,LoyaltyPoints,INT,Private,47
Finance,InvestmentValue,DECIMAL,Confidential,25846.05
Sales,OrderHistory,TEXT,Public,Practice total.
Employee,Email,TEXT,Private,travis34@example.net
Finance,TaxID,TEXT,Secret,GB08MVCU32254241100607
Finance,CompanyBudget,DECIMAL,Confidential,11445.07
Employee,Salary,DECIMAL,Confidential,59341.54
Employee,Department,TEXT,Private,Reflect TV total.
Finance,CreditCardNumber,TEXT,Secret,GB42XYTC72046154634120
ITSecurity,PasswordHash,TEXT,Secret,e0cbd920edc41fbc89ffc5e1ea20bfcc8d095212e63df6e45c26115961320ae0
Employee,Email,TEXT,Private,james22@example.net
Healthcare,MedicalHistory,TEXT,Confidential,Make money read.
Finance,CompanyBudget,DECIMAL,Confidential,75534.51
Sales,LoyaltyPoints,INT,Private,38
Sales,DiscountCoupons,TEXT,Public,Common soldier.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB51RAPQ48728230692993
ITSecurity,PasswordHash,TEXT,Secret,2932ead20460696f24183e9844ca8222666207bde32865e413d58cd79eef8ee3
Employee,Age,INT,Private,28
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB10MTSU80981887293623
Employee,ManagerName,TEXT,Private,Jason Hill
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB67WYBA33490441410661
ITSecurity,PasswordHash,TEXT,Secret,9d105a5c6913f0cbc596f90a7a58d8cf84f263bea143c2bda57c552afd89d1dd
Finance,TaxID,TEXT,Secret,GB54GPUF89733182921937
ITSecurity,PasswordHash,TEXT,Secret,8c977b81bd00c9804406302459dd286b0dccac11fd4d1b76321c02bb1ddf2903
Employee,PhoneNumber,TEXT,Private,462-386-2022x210
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,CompanyBudget,DECIMAL,Confidential,69708.2
ITSecurity,LoginAttempts,INT,Private,76
Finance,InvestmentValue,DECIMAL,Confidential,89666.06
Employee,Gender,TEXT,Private,trans
Employee,PhoneNumber,TEXT,Private,(431)211-1519
Employee,DateOfBirth,DATE,Private,1997-03-30
ITSecurity,SessionToken,TEXT,Secret,d521aa8d-0d75-450c-ad08-2ff8c5d0f0b1
Healthcare,MedicalHistory,TEXT,Confidential,Knowledge question.
Healthcare,Prescription,TEXT,Confidential,Technology window.
Finance,CreditCardNumber,TEXT,Secret,GB65CXTI71598634082830
Employee,ManagerName,TEXT,Private,Catherine Smith MD
Sales,FavoriteProducts,TEXT,Public,Forget world.
Employee,FullName,TEXT,Private,Mrs. Sheena Johnson
Employee,Salary,DECIMAL,Confidential,33203.87
Finance,InvestmentValue,DECIMAL,Confidential,38961.95
Finance,InvestmentValue,DECIMAL,Confidential,33520.55
Sales,LoyaltyPoints,INT,Private,98
Employee,Department,TEXT,Private,Hand play painting.
Healthcare,Diagnosis,TEXT,Confidential,Ready market word.
Employee,FullName,TEXT,Private,Pamela Jenkins
Finance,InvestmentValue,DECIMAL,Confidential,62134.04
Sales,OrderHistory,TEXT,Public,Prepare argue eat.
Employee,Salary,DECIMAL,Confidential,25959.9
ITSecurity,LoginAttempts,INT,Private,65
Healthcare,Prescription,TEXT,Confidential,Last check feel.
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Healthcare,Prescription,TEXT,Confidential,People tell imagine.
Employee,DateOfBirth,DATE,Private,2008-06-28
Sales,DiscountCoupons,TEXT,Public,Decade structure.
Employee,Age,INT,Private,62
Sales,CustomerFeedback,TEXT,Public,Word education end.
ITSecurity,APIKey,TEXT,Secret,a07b797c6697c8e9c5b1f6991165a58a
Employee,Address,TEXT,Private,"75932 John Harbor Apt. 706
West Ericview, AZ 39199"
Employee,Age,INT,Private,26
Employee,FullName,TEXT,Private,Shawn Chambers
Employee,Email,TEXT,Private,kathleensmith@example.org
Finance,BankAccountNumber,TEXT,Confidential,GB91HEPW13130842248195
Finance,InvestmentValue,DECIMAL,Confidential,93647.13
Sales,LoyaltyPoints,INT,Private,61
Finance,CompanyBudget,DECIMAL,Confidential,80064.53
Employee,DateOfBirth,DATE,Private,1975-12-12
Sales,DiscountCoupons,TEXT,Public,That race far.
Employee,EmployeeID,TEXT,Private,Break laugh serious.
ITSecurity,LoginAttempts,INT,Private,28
Sales,DiscountCoupons,TEXT,Public,Thus other again.
Employee,ManagerName,TEXT,Private,Gabriel Ware
ITSecurity,SessionToken,TEXT,Secret,303f406d-5f0a-4f41-8b50-3a089174738b
Employee,Age,INT,Private,76
Employee,JobTitle,TEXT,Private,Control just nice.
Healthcare,Diagnosis,TEXT,Confidential,Write knowledge arm.
Employee,Department,TEXT,Private,Network marriage.
Sales,FavoriteProducts,TEXT,Public,True partner.
Employee,PhoneNumber,TEXT,Private,+1-805-788-7881x1187
ITSecurity,SessionToken,TEXT,Secret,02960ff9-f5db-43f7-9784-f25b7864f51a
Healthcare,Diagnosis,TEXT,Confidential,Doctor our hundred.
Employee,Address,TEXT,Private,"502 Yates Haven
Cindystad, WA 63276"
Employee,Address,TEXT,Private,"73676 Daniel Stravenue Suite 397
West Aaron, PR 46158"
Healthcare,Diagnosis,TEXT,Confidential,Officer most near.
Finance,LoanAmount,DECIMAL,Confidential,39743.54
Finance,TaxID,TEXT,Secret,GB30IHYA05297646937305
Sales,LoyaltyPoints,INT,Private,61
Sales,DiscountCoupons,TEXT,Public,Must movement.
Sales,DiscountCoupons,TEXT,Public,Though respond.
Healthcare,Prescription,TEXT,Confidential,Once case unit away.
Healthcare,EmergencyContact,TEXT,Private,Cynthia Martin
Employee,Address,TEXT,Private,"536 Hunt Shoal Apt. 871
Lisaview, TX 91639"
Employee,Email,TEXT,Private,davisluke@example.org
Finance,TaxID,TEXT,Secret,GB29GPPA36655064812722
Finance,CreditCardNumber,TEXT,Secret,GB18OPHP54236323918785
Healthcare,Diagnosis,TEXT,Confidential,Natural artist.
Healthcare,MedicalHistory,TEXT,Confidential,Event help six.
Employee,Age,INT,Private,30
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,InvestmentValue,DECIMAL,Confidential,11648.33
Employee,JobTitle,TEXT,Private,Approach.
Employee,Department,TEXT,Private,Study major cold.
Employee,Department,TEXT,Private,Meet also final.
Finance,TaxID,TEXT,Secret,GB73MIHN95053389413265
Employee,JobTitle,TEXT,Private,Eye whole against.
Sales,DiscountCoupons,TEXT,Public,Company save window.
Employee,JobTitle,TEXT,Private,Close rule charge.
Finance,TaxID,TEXT,Secret,GB78MUNH00036185837564
ITSecurity,LoginAttempts,INT,Private,71
Sales,FavoriteProducts,TEXT,Public,Figure term base.
Sales,LoyaltyPoints,INT,Private,19
Employee,FullName,TEXT,Private,Erica Liu
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB28ELWR73384606002447
Sales,FavoriteProducts,TEXT,Public,Then purpose media.
Finance,CreditCardNumber,TEXT,Secret,GB32RZMU00072219475816
Sales,LoyaltyPoints,INT,Private,96
ITSecurity,PasswordHash,TEXT,Secret,609395844f6ba1810451a0324ed347f57338a44d43344c64ccc22db53c6869ed
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,CreditCardNumber,TEXT,Secret,GB15MZXS60386999172776
Employee,PhoneNumber,TEXT,Private,+1-932-341-1936x850
Employee,Department,TEXT,Private,Idea send choose.
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Healthcare,EmergencyContact,TEXT,Private,Michael Cross
Sales,DiscountCoupons,TEXT,Public,Trouble why rise.
Employee,JobTitle,TEXT,Private,Authority anyone.
Finance,LoanAmount,DECIMAL,Confidential,31944.34
Employee,Department,TEXT,Private,Challenge president.
Employee,Department,TEXT,Private,Hot hear then turn.
Employee,FullName,TEXT,Private,Dr. Kyle Barron
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB75NZLD52654643806114
Finance,CompanyBudget,DECIMAL,Confidential,30451.69
Finance,CreditCardNumber,TEXT,Secret,GB78FRAG41094266176981
Employee,ManagerName,TEXT,Private,Elijah Johnson
Finance,BankAccountNumber,TEXT,Confidential,GB52SPIP87971243476530
Employee,JobTitle,TEXT,Private,How focus and hit.
Finance,LoanAmount,DECIMAL,Confidential,38901.75
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB05NAHL86275576300946
Employee,DateOfBirth,DATE,Private,2005-11-28
Employee,EmployeeID,TEXT,Private,Along seven across.
Employee,EmployeeID,TEXT,Private,Number require.
Employee,ManagerName,TEXT,Private,Isabel Manning
Finance,BankAccountNumber,TEXT,Confidential,GB52NVDF65968153605090
ITSecurity,PasswordHash,TEXT,Secret,dec7485524081d10c35b5f9e12cc5d115e6ea05468e155f3d5e6cb8c449711c2
Finance,TaxID,TEXT,Secret,GB47FFZY08972625841167
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Healthcare,Prescription,TEXT,Confidential,Congress Mrs.
Employee,Email,TEXT,Private,morganjonathan@example.com
ITSecurity,APIKey,TEXT,Secret,e2073c4a70cd6e1a6d9bda8d32fa237b
Employee,Email,TEXT,Private,huntertristan@example.net
Employee,PhoneNumber,TEXT,Private,+1-717-346-6891x0825
Healthcare,EmergencyContact,TEXT,Private,Emily Cohen
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Sales,LoyaltyPoints,INT,Private,74
Sales,OrderHistory,TEXT,Public,Step heart notice.
Sales,DiscountCoupons,TEXT,Public,Police rock across.
ITSecurity,SessionToken,TEXT,Secret,3d1af486-8bbe-416c-bde4-97a73539593b
Healthcare,EmergencyContact,TEXT,Private,Stephen Dorsey
Employee,Salary,DECIMAL,Confidential,9307.0
Employee,FullName,TEXT,Private,Laura Gonzales
Employee,DateOfBirth,DATE,Private,2018-10-12
Finance,BankAccountNumber,TEXT,Confidential,GB27UJEY43165186506924
Employee,Age,INT,Private,100
Finance,TaxID,TEXT,Secret,GB40UUAG46682521186715
ITSecurity,SessionToken,TEXT,Secret,d79dc9dc-567d-465b-a075-8e84703b5bf9
Finance,InvestmentValue,DECIMAL,Confidential,39140.31
Sales,OrderHistory,TEXT,Public,Upon outside.
Employee,EmployeeID,TEXT,Private,Raise ball power.
Employee,Salary,DECIMAL,Confidential,77607.23
Sales,FavoriteProducts,TEXT,Public,Sing spring country.
Finance,InvestmentValue,DECIMAL,Confidential,33835.94
Healthcare,Diagnosis,TEXT,Confidential,Feeling record.
Sales,OrderHistory,TEXT,Public,Television recently.
ITSecurity,SessionToken,TEXT,Secret,6704d610-6ba6-43e3-95a7-ce08bbd85de5
ITSecurity,LoginAttempts,INT,Private,46
Employee,Gender,TEXT,Private,trans
Finance,LoanAmount,DECIMAL,Confidential,80133.84
Employee,PhoneNumber,TEXT,Private,001-833-590-8882x40252
Sales,FavoriteProducts,TEXT,Public,Fly not pick.
Employee,EmployeeID,TEXT,Private,Ago adult brother.
Employee,Department,TEXT,Private,Bed last increase.
Healthcare,Prescription,TEXT,Confidential,Yeah how agency.
Finance,CreditCardNumber,TEXT,Secret,GB53DZZJ49996162333621
Employee,Age,INT,Private,38
Sales,DiscountCoupons,TEXT,Public,Scene me PM rule.
Sales,OrderHistory,TEXT,Public,Field blue mission.
Employee,Address,TEXT,Private,"196 Kristin Mission
New Andrew, AK 28795"
Employee,DateOfBirth,DATE,Private,2004-10-09
Finance,TaxID,TEXT,Secret,GB94YSOX56399187824449
Employee,DateOfBirth,DATE,Private,2007-04-23
Finance,LoanAmount,DECIMAL,Confidential,78184.41
ITSecurity,SessionToken,TEXT,Secret,28b23b3b-4922-4ba2-b6e5-6590e1d2e35e
Healthcare,Diagnosis,TEXT,Confidential,Consider seven tree.
Finance,InvestmentValue,DECIMAL,Confidential,89574.45
Employee,Email,TEXT,Private,zsanchez@example.com
Employee,Salary,DECIMAL,Confidential,77559.35
Employee,EmployeeID,TEXT,Private,Today center heart.
Employee,Gender,TEXT,Private,trans
Employee,ManagerName,TEXT,Private,Brian Brown
Sales,LoyaltyPoints,INT,Private,100
Employee,Department,TEXT,Private,Everybody end try.
Finance,InvestmentValue,DECIMAL,Confidential,75695.15
Employee,Email,TEXT,Private,parmstrong@example.com
Healthcare,MedicalHistory,TEXT,Confidential,Physical send near.
Employee,Department,TEXT,Private,Read take born.
Finance,CreditCardNumber,TEXT,Secret,GB87UKSK93112507876213
Employee,Address,TEXT,Private,"48656 Patrick Spur Apt. 618
Fritzstad, NV 04177"
Employee,EmployeeID,TEXT,Private,Seek statement.
ITSecurity,APIKey,TEXT,Secret,8e1e81fa230559df288abb067b72b311
Employee,Gender,TEXT,Private,male
Employee,Gender,TEXT,Private,male
Employee,Gender,TEXT,Private,male
Employee,EmployeeID,TEXT,Private,Worker act card.
Sales,DiscountCoupons,TEXT,Public,Cut possible cup.
Finance,CreditCardNumber,TEXT,Secret,GB40ANPB99343620911942
Healthcare,Prescription,TEXT,Confidential,Again particular.
Sales,LoyaltyPoints,INT,Private,83
Employee,Email,TEXT,Private,chodges@example.org
Sales,FavoriteProducts,TEXT,Public,Local rule network.
Healthcare,MedicalHistory,TEXT,Confidential,Major yard capital.
Employee,Gender,TEXT,Private,trans
ITSecurity,LoginAttempts,INT,Private,41
Employee,Address,TEXT,Private,"6197 Nicholas Vista
New Jonathan, VI 76354"
ITSecurity,SessionToken,TEXT,Secret,2a44c582-6bba-4e33-b17e-0b040f1345da
Employee,Gender,TEXT,Private,male
Employee,Gender,TEXT,Private,trans
Sales,OrderHistory,TEXT,Public,Series into amount.
Employee,Address,TEXT,Private,"Unit 9464 Box 8124
DPO AA 02974"
Employee,Department,TEXT,Private,Program likely.
Finance,CompanyBudget,DECIMAL,Confidential,58528.95
Employee,Department,TEXT,Private,Traditional city.
Employee,Salary,DECIMAL,Confidential,7341.31
Finance,TaxID,TEXT,Secret,GB94FYWG74328964312221
Healthcare,MedicalHistory,TEXT,Confidential,Material hot PM I.
Employee,EmployeeID,TEXT,Private,Difference room.
ITSecurity,SessionToken,TEXT,Secret,e0c11c0e-c0c1-4cea-b176-875473bffa8c
Employee,JobTitle,TEXT,Private,While say science.
Healthcare,Prescription,TEXT,Confidential,Whatever office may.
Healthcare,Diagnosis,TEXT,Confidential,Guess little.
Finance,InvestmentValue,DECIMAL,Confidential,8904.08
Employee,Email,TEXT,Private,johnsanford@example.net
Sales,DiscountCoupons,TEXT,Public,Run event mention.
Finance,LoanAmount,DECIMAL,Confidential,44268.89
Employee,DateOfBirth,DATE,Private,2006-04-09
ITSecurity,PasswordHash,TEXT,Secret,1e41c0185c33a326feeafa698c0fe53c50202a5a639dfc7ad7d6752045801df7
Employee,Address,TEXT,Private,"35154 Keller Dale
Dixonland, AZ 81294"
Finance,CreditCardNumber,TEXT,Secret,GB67JPRH36875997462918
Finance,LoanAmount,DECIMAL,Confidential,30696.92
ITSecurity,LoginAttempts,INT,Private,35
Employee,Gender,TEXT,Private,female
Employee,Address,TEXT,Private,"8176 Trujillo Summit Suite 068
Williamsmouth, AS 39463"
Employee,Department,TEXT,Private,Several likely.
Employee,FullName,TEXT,Private,Sarah Ellis
Finance,CompanyBudget,DECIMAL,Confidential,96777.12
Healthcare,Prescription,TEXT,Confidential,Blood whose common.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB36ZSXI36920454123995
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB19RPCK13513237837059
Employee,Salary,DECIMAL,Confidential,88537.81
Healthcare,Prescription,TEXT,Confidential,Indeed cause they.
Healthcare,Prescription,TEXT,Confidential,Ever to I thus.
Healthcare,MedicalHistory,TEXT,Confidential,Month shoulder.
Sales,LoyaltyPoints,INT,Private,51
Employee,PhoneNumber,TEXT,Private,417-897-5822x4416
Employee,PhoneNumber,TEXT,Private,618.762.5212
Employee,ManagerName,TEXT,Private,Earl Lee
Employee,Address,TEXT,Private,"086 Alicia Spring Suite 146
New Tammy, MD 26150"
Sales,OrderHistory,TEXT,Public,Bad above pay tree.
Finance,TaxID,TEXT,Secret,GB46LFYI51040287982074
Healthcare,Diagnosis,TEXT,Confidential,Decade skill pretty.
Healthcare,Diagnosis,TEXT,Confidential,Your artist child.
Employee,Address,TEXT,Private,"687 Santiago Causeway
North Todd, AS 60070"
Sales,CustomerFeedback,TEXT,Public,East color author.
Sales,OrderHistory,TEXT,Public,Stuff how thus.
Finance,BankAccountNumber,TEXT,Confidential,GB68OSSV00576868294844
Finance,CreditCardNumber,TEXT,Secret,GB36JSBS25936342590262
Finance,CreditCardNumber,TEXT,Secret,GB62AZCW86152677735550
Finance,TaxID,TEXT,Secret,GB83HLPK02071757976823
Healthcare,Prescription,TEXT,Confidential,Than performance.
Healthcare,MedicalHistory,TEXT,Confidential,White assume.
Healthcare,Diagnosis,TEXT,Confidential,Of prepare yeah.
Employee,FullName,TEXT,Private,Robert Byrd
Healthcare,MedicalHistory,TEXT,Confidential,Music member heavy.
ITSecurity,SessionToken,TEXT,Secret,377c9f39-9884-4f0c-b941-4382d712b274
Employee,DateOfBirth,DATE,Private,1992-04-12
Sales,CustomerFeedback,TEXT,Public,Trade reach least.
Sales,DiscountCoupons,TEXT,Public,Design piece chance.
Employee,Gender,TEXT,Private,trans
Employee,PhoneNumber,TEXT,Private,798-622-1620
Employee,JobTitle,TEXT,Private,Become different.
Employee,DateOfBirth,DATE,Private,1970-07-20
ITSecurity,PasswordHash,TEXT,Secret,72f563700c60f44cf202691f0f043300686b638fb967ab9f98d179bd7756fa65
Healthcare,Diagnosis,TEXT,Confidential,American act step.
Employee,Address,TEXT,Private,"285 Kevin Lakes
Carlsonmouth, NE 42583"
Employee,Email,TEXT,Private,sheila83@example.org
Healthcare,Diagnosis,TEXT,Confidential,Data budget people.
Employee,FullName,TEXT,Private,Jenny Rose
ITSecurity,SessionToken,TEXT,Secret,431cc80d-f87c-4eb4-bd15-39e4cb423580
Employee,JobTitle,TEXT,Private,Big save wind draw.
ITSecurity,PasswordHash,TEXT,Secret,6b042c00fe16927983e54fd65aa7560ac1a4d27ff0a2e13b2803e0f6d761685a
Employee,PhoneNumber,TEXT,Private,001-794-432-4240
Employee,Department,TEXT,Private,Wall the street.
Healthcare,Diagnosis,TEXT,Confidential,Sort prepare our.
Employee,Salary,DECIMAL,Confidential,98589.16
Sales,OrderHistory,TEXT,Public,Ok chair large ever.
ITSecurity,LoginAttempts,INT,Private,53
Healthcare,Prescription,TEXT,Confidential,Act year business.
Employee,ManagerName,TEXT,Private,David Martinez
Finance,CreditCardNumber,TEXT,Secret,GB58OEIK95455096229314
ITSecurity,PasswordHash,TEXT,Secret,fa1d389ab7de070dbff7e71598fb8db63a1c9d3a4303f76450d11546dc6a74ba
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Finance,CompanyBudget,DECIMAL,Confidential,3589.8
Employee,Email,TEXT,Private,ortizlinda@example.com
Healthcare,MedicalHistory,TEXT,Confidential,Beautiful movie.
Employee,ManagerName,TEXT,Private,Paul Campbell
Sales,CustomerFeedback,TEXT,Public,Without various.
Healthcare,Diagnosis,TEXT,Confidential,Most same point.
Finance,TaxID,TEXT,Secret,GB88ZAML10585130739292
Healthcare,MedicalHistory,TEXT,Confidential,Why such protect.
Finance,CreditCardNumber,TEXT,Secret,GB49XEGQ73112896499826
Finance,InvestmentValue,DECIMAL,Confidential,87875.04
Sales,LoyaltyPoints,INT,Private,44
Employee,EmployeeID,TEXT,Private,Environmental.
Healthcare,EmergencyContact,TEXT,Private,Rachel Rodriguez
Employee,ManagerName,TEXT,Private,Angelica Watson
Healthcare,MedicalHistory,TEXT,Confidential,Congress expect.
Employee,ManagerName,TEXT,Private,Brian Fox
Finance,TaxID,TEXT,Secret,GB38ILCC86427388156388
Finance,InvestmentValue,DECIMAL,Confidential,27880.31
Sales,LoyaltyPoints,INT,Private,59
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB61BYOP97828005476166
Employee,JobTitle,TEXT,Private,Seek entire dog.
Sales,CustomerFeedback,TEXT,Public,Charge your on room.
Finance,CreditCardNumber,TEXT,Secret,GB21TCLC70744365694245
Employee,PhoneNumber,TEXT,Private,6919674444
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,True
Healthcare,EmergencyContact,TEXT,Private,Jeffrey Decker
Sales,LoyaltyPoints,INT,Private,88
Employee,JobTitle,TEXT,Private,First budget sport.
Finance,LoanAmount,DECIMAL,Confidential,39011.36
Sales,FavoriteProducts,TEXT,Public,Including.
Finance,LoanAmount,DECIMAL,Confidential,95042.53
Finance,TaxID,TEXT,Secret,GB62RDQQ14388401181092
Sales,LoyaltyPoints,INT,Private,36
Employee,JobTitle,TEXT,Private,Example score edge.
Employee,Department,TEXT,Private,Give like town.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB22UPFX12368797518766
Employee,Address,TEXT,Private,"5644 Johnson Turnpike
Lake Christopher, MD 06325"
Healthcare,EmergencyContact,TEXT,Private,Stacey Berger MD
Employee,Age,INT,Private,22
Employee,Address,TEXT,Private,"5576 Darius Knoll Apt. 997
Batesville, IA 13123"
Employee,FullName,TEXT,Private,Vanessa Robertson
Healthcare,MedicalHistory,TEXT,Confidential,Red impact rather.
Employee,Salary,DECIMAL,Confidential,92560.21
Healthcare,Prescription,TEXT,Confidential,Success media.
ITSecurity,SessionToken,TEXT,Secret,d44f0ea7-fd44-477d-aefa-f033fe246eea
Sales,DiscountCoupons,TEXT,Public,Ten newspaper.
Finance,TaxID,TEXT,Secret,GB31ZMRO68727685068205
Employee,ManagerName,TEXT,Private,Robert Miles
Employee,Age,INT,Private,48
Employee,DateOfBirth,DATE,Private,1991-06-29
ITSecurity,SessionToken,TEXT,Secret,d502817c-5720-4c57-8e09-712c5228448f
Employee,PhoneNumber,TEXT,Private,+1-247-938-5999x031
ITSecurity,APIKey,TEXT,Secret,d8d5951fb4b3c136bc4b19fc6946fbb5
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB13UVMM41317103986966
Sales,OrderHistory,TEXT,Public,Process age.
Employee,Address,TEXT,Private,"666 Kathleen Crest
Lake Kurtfort, GA 43333"
Employee,FullName,TEXT,Private,Jean Howell
ITSecurity,PasswordHash,TEXT,Secret,a0c322b0f14bce1071c2f9f3279aeaf3f19e849db97dab7f2b43eaec3d445d5e
ITSecurity,APIKey,TEXT,Secret,517e8c986da1d1d65d0752c376a674a7
Sales,LoyaltyPoints,INT,Private,59
Employee,Department,TEXT,Private,Whatever interest.
ITSecurity,APIKey,TEXT,Secret,91be51ef998cbb328662aca1a1290294
Employee,Address,TEXT,Private,"8749 Stephens Port
Claytonmouth, CA 73889"
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Employee,Salary,DECIMAL,Confidential,10832.93
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB86UMBL80538679967798
Finance,LoanAmount,DECIMAL,Confidential,78001.19
Employee,Email,TEXT,Private,philipramirez@example.com
ITSecurity,LoginAttempts,INT,Private,33
Healthcare,MedicalHistory,TEXT,Confidential,And item hit father.
Healthcare,MedicalHistory,TEXT,Confidential,Note let hope trip.
Employee,Address,TEXT,Private,"955 Joseph Route Apt. 044
West Brandonhaven, GU 68390"
Sales,DiscountCoupons,TEXT,Public,Public idea too.
Sales,LoyaltyPoints,INT,Private,42
ITSecurity,APIKey,TEXT,Secret,4164543708d45c8e112f2814a1327d55
Finance,InvestmentValue,DECIMAL,Confidential,90381.23
Healthcare,MedicalHistory,TEXT,Confidential,Tend technology.
Sales,LoyaltyPoints,INT,Private,58
Finance,CreditCardNumber,TEXT,Secret,GB42IJBX01686852880118
Employee,Salary,DECIMAL,Confidential,27259.65
Employee,Address,TEXT,Private,"59943 Long Roads Apt. 163
New Marcus, AR 37140"
Sales,FavoriteProducts,TEXT,Public,All stand three can.
Employee,Email,TEXT,Private,danielle92@example.net
Healthcare,EmergencyContact,TEXT,Private,Jason Smith
Healthcare,Diagnosis,TEXT,Confidential,Impact your meet.
Healthcare,MedicalHistory,TEXT,Confidential,Not home financial.
Employee,Gender,TEXT,Private,male
Employee,JobTitle,TEXT,Private,Later including.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB48ZMAO73763998736864
Healthcare,MedicalHistory,TEXT,Confidential,Turn put yes middle.
Employee,PhoneNumber,TEXT,Private,001-450-689-5972
Sales,CustomerFeedback,TEXT,Public,Network official.
Sales,LoyaltyPoints,INT,Private,31
ITSecurity,SessionToken,TEXT,Secret,332946a1-10a1-4722-a354-a6e41c124e90
Healthcare,Prescription,TEXT,Confidential,Into these large.
Sales,LoyaltyPoints,INT,Private,85
Sales,LoyaltyPoints,INT,Private,34
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB27NODW78453052236946
Sales,DiscountCoupons,TEXT,Public,Thousand trouble we.
Employee,Gender,TEXT,Private,trans
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB82WCEK90822459013471
Finance,TaxID,TEXT,Secret,GB94PXMC85025732574420
Healthcare,Diagnosis,TEXT,Confidential,Mrs part box create.
Sales,LoyaltyPoints,INT,Private,35
ITSecurity,APIKey,TEXT,Secret,0efc8591a6ef7218d62a64cc7ff4240b
ITSecurity,SessionToken,TEXT,Secret,9803b9b0-53f6-468e-a8a0-232f6dea3a06
Finance,BankAccountNumber,TEXT,Confidential,GB05HPIK88513620452747
ITSecurity,PasswordHash,TEXT,Secret,f48b57ef112a381e227da93ecfa700259a0fb731f635153b6828d328b3bc853f
ITSecurity,APIKey,TEXT,Secret,af8717dabb07accd178477ee8b4c3a2e
Employee,PhoneNumber,TEXT,Private,001-210-683-4660
ITSecurity,LoginAttempts,INT,Private,90
Finance,TaxID,TEXT,Secret,GB46DKAA68449143292123
ITSecurity,SessionToken,TEXT,Secret,bbc438e9-5166-470e-8cd2-44636436e144
Employee,Gender,TEXT,Private,male
Finance,LoanAmount,DECIMAL,Confidential,45506.07
ITSecurity,SessionToken,TEXT,Secret,653d09db-47ed-4d05-bc5a-8041fa19963c
Finance,CompanyBudget,DECIMAL,Confidential,3572.5
ITSecurity,APIKey,TEXT,Secret,7a119f4a02f317319eddb48d8eca7fb8
Healthcare,EmergencyContact,TEXT,Private,Shane Knight
Sales,CustomerFeedback,TEXT,Public,Set measure.
